,コード,銘柄名,33業種コード,33業種区分
1339,3593,ホギメディカル,3100,繊維製品
1340,3597,自重堂,3100,繊維製品
1341,3598,山喜,3100,繊維製品
1342,359A,NEXT　STAGE,9050,サービス業
1343,3600,フジックス,3100,繊維製品
1344,3607,クラウディアホールディングス,3100,繊維製品
1345,3608,TSIホールディングス,3100,繊維製品
1347,3611,マツオカコーポレーション,3100,繊維製品
1348,3612,ワールド,3100,繊維製品
1349,361A,リビングハウス,6100,小売業
1350,3622,ネットイヤーグループ,5250,情報・通信業
1351,3623,ビリングシステム,5250,情報・通信業
1352,3624,アクセルマーク,5250,情報・通信業
1353,3625,テックファームホールディングス,5250,情報・通信業
1354,3626,TIS,5250,情報・通信業
1355,3627,テクミラホールディングス,5250,情報・通信業
1356,3628,データホライゾン,5250,情報・通信業
1357,362A,エクシオホールディングス,9050,サービス業
1358,3632,グリーホールディングス,5250,情報・通信業
1359,3633,GMOペパボ,5250,情報・通信業
1360,3634,ソケッツ,5250,情報・通信業
1361,3635,コーエーテクモホールディングス,5250,情報・通信業
1362,3636,三菱総合研究所,5250,情報・通信業
1363,3639,ボルテージ,5250,情報・通信業
1365,3640,電算,5250,情報・通信業
1366,3641,パピレス,5250,情報・通信業
1367,3645,メディカルネット,5250,情報・通信業
1368,3646,駅探,5250,情報・通信業
1369,3647,アスリナ,5250,情報・通信業
1370,3648,AGS,5250,情報・通信業
1371,3649,ファインデックス,5250,情報・通信業
1373,3652,ディジタルメディアプロフェッショナル,5250,情報・通信業
1374,3653,モルフォ,5250,情報・通信業
1375,3656,KLab,5250,情報・通信業
1376,3657,ポールトゥウィンホールディングス,5250,情報・通信業
1377,3659,ネクソン,5250,情報・通信業
1378,365A,伊澤タオル,3100,繊維製品
1379,3660,アイスタイル,5250,情報・通信業
1380,3661,エムアップホールディングス,5250,情報・通信業
1381,3662,エイチームホールディングス,5250,情報・通信業
1382,3663,セルシス,5250,情報・通信業
1383,3664,モブキャストホールディングス,5250,情報・通信業
1384,3665,エニグモ,5250,情報・通信業
1385,3667,enish,5250,情報・通信業
1386,3668,コロプラ,5250,情報・通信業
1387,366A,ウェルネス・コミュニケーションズ,9050,サービス業
1388,3670,協立情報通信,5250,情報・通信業
1389,3671,ソフトマックス,5250,情報・通信業
1390,3672,オルトプラス,5250,情報・通信業
1391,3673,ブロードリーフ,5250,情報・通信業
1392,3674,オークファン,5250,情報・通信業
1393,3675,クロス・マーケティンググループ,5250,情報・通信業
1394,3676,デジタルハーツホールディングス,5250,情報・通信業
1395,3678,メディアドゥ,5250,情報・通信業
1396,3679,じげん,5250,情報・通信業
1397,367A,プリモグローバルホールディングス,6100,小売業
1398,3680,ホットリンク,5250,情報・通信業
1399,3681,ブイキューブ,5250,情報・通信業
1400,3682,エンカレッジ・テクノロジ,5250,情報・通信業
1401,3683,サイバーリンクス,5250,情報・通信業
1402,3686,ディー・エル・イー,5250,情報・通信業
1403,3687,フィックスターズ,5250,情報・通信業
1404,368A,北里コーポレーション,3750,精密機器
1405,3690,イルグルム,5250,情報・通信業
1406,3691,デジタルプラス,5250,情報・通信業
1407,3692,FFRIセキュリティ,5250,情報・通信業
1408,3694,オプティム,5250,情報・通信業
1409,3695,GMOプロダクトプラットフォーム,5250,情報・通信業
1410,3696,セレス,5250,情報・通信業
1411,3697,SHIFT,5250,情報・通信業
1412,3698,CRI・ミドルウェア,5250,情報・通信業
1413,369A,エータイ,9050,サービス業
1414,3708,特種東海製紙,3150,パルプ・紙
1415,370A,リバイブル,8050,不動産業
1416,3710,ジョルダン,5250,情報・通信業
1417,3712,情報企画,5250,情報・通信業
1418,3719,AIストーム,5250,情報・通信業
1419,371A,デージーネット,5250,情報・通信業
1420,3723,日本ファルコム,5250,情報・通信業
1421,3726,フォーシーズHD,6100,小売業
1422,3727,アプリックス,5250,情報・通信業
1423,372A,レント,9050,サービス業
1424,3733,ソフトウェア・サービス,5250,情報・通信業
1425,373A,リップス,3200,化学
1426,3741,セック,5250,情報・通信業
1427,3744,サイオス,5250,情報・通信業
1428,3747,インタートレード,5250,情報・通信業
1429,374A,樋口総合研究所,5250,情報・通信業
1430,3750,ADR120S,5250,情報・通信業
1431,3753,フライトソリューションズ,5250,情報・通信業
1432,3758,アエリア,5250,情報・通信業
1433,375A,YAKホールディングス,8050,不動産業
1434,3760,ケイブ,5250,情報・通信業
1435,3762,テクマトリックス,5250,情報・通信業
1436,3763,プロシップ,5250,情報・通信業
1437,3765,ガンホー・オンライン・エンターテイメント,5250,情報・通信業
1438,3766,システムズ・デザイン,5250,情報・通信業
1439,3768,リスクモンスター,5250,情報・通信業
1440,3769,GMOペイメントゲートウェイ,5250,情報・通信業
1442,3771,システムリサーチ,5250,情報・通信業
1443,3772,ウェルス・マネジメント,8050,不動産業
1444,3773,アドバンスト・メディア,5250,情報・通信業
1445,3774,インターネットイニシアティブ,5250,情報・通信業
1446,3776,ブロードバンドタワー,5250,情報・通信業
1447,3777,環境フレンドリーホールディングス,5250,情報・通信業
1448,3778,さくらインターネット,5250,情報・通信業
1449,3779,ジェイ・エスコムホールディングス,5250,情報・通信業
1450,3787,テクノマセマティカル,5250,情報・通信業
1451,3788,GMOグローバルサイン・ホールディングス,5250,情報・通信業
1452,378A,ヒット,9050,サービス業
1453,3791,IGポート,5250,情報・通信業
1454,3793,ドリコム,5250,情報・通信業
1455,3796,いい生活,5250,情報・通信業
1456,3798,ULSグループ,5250,情報・通信業
1457,3799,キーウェアソリューションズ,5250,情報・通信業
1459,3800,ユニリタ,5250,情報・通信業
1460,3802,エコミック,5250,情報・通信業
1461,3803,イメージ情報開発,5250,情報・通信業
1462,3804,システム　ディ,5250,情報・通信業
1463,3807,フィスコ,5250,情報・通信業
1465,3810,サイバーステップホールディングス,5250,情報・通信業
1466,3815,メディア工房,5250,情報・通信業
1467,3816,大和コンピューター,5250,情報・通信業
1468,3817,SRAホールディングス,5250,情報・通信業
1470,3823,THE　WHY　HOW　DO　COMPANY,5250,情報・通信業
1471,3825,リミックスポイント,6100,小売業
1472,3826,システムインテグレータ,5250,情報・通信業
1474,3834,朝日ネット,5250,情報・通信業
1475,3835,eBASE,5250,情報・通信業
1476,3836,アバントグループ,5250,情報・通信業
1477,3837,アドソル日進,5250,情報・通信業
1478,3839,ODKソリューションズ,5250,情報・通信業
1480,3840,パス,5250,情報・通信業
1481,3841,ジーダット,5250,情報・通信業
1482,3842,ネクストジェン,5250,情報・通信業
1483,3843,フリービット,5250,情報・通信業
1484,3844,コムチュア,5250,情報・通信業
1485,3845,アイフリークモバイル,5250,情報・通信業
1486,3848,データ・アプリケーション,5250,情報・通信業
1487,3850,エヌ・ティ・ティ・データ・イントラマート,5250,情報・通信業
1488,3851,日本一ソフトウェア,5250,情報・通信業
1489,3853,アステリア,5250,情報・通信業
1490,3854,アイル,5250,情報・通信業
1491,3856,Abalance,3650,電気機器
1492,3858,ユビキタスAI,5250,情報・通信業
1493,385A,山本通産,6050,卸売業
1494,3861,王子ホールディングス,3150,パルプ・紙
1495,3863,日本製紙,3150,パルプ・紙
1496,3864,三菱製紙,3150,パルプ・紙
1497,3865,北越コーポレーション,3150,パルプ・紙
1498,386A,みのや,6100,小売業
1499,3877,中越パルプ工業,3150,パルプ・紙
1500,3878,巴川コーポレーション,3200,化学
1501,387A,フラー,5250,情報・通信業
1502,3880,大王製紙,3150,パルプ・紙
1503,3891,ニッポン高度紙工業,3150,パルプ・紙
1504,3892,岡山製紙,3150,パルプ・紙
1505,3895,ハビックス,3150,パルプ・紙
1506,3896,阿波製紙,3150,パルプ・紙
1507,389A,八光オートメーション,3650,電気機器
1508,3900,クラウドワークス,5250,情報・通信業
1509,3901,マークラインズ,5250,情報・通信業
1510,3902,メディカル・データ・ビジョン,5250,情報・通信業
1511,3903,gumi,5250,情報・通信業
1512,3904,カヤック,5250,情報・通信業
1513,3905,データセクション,5250,情報・通信業
1514,3907,シリコンスタジオ,5250,情報・通信業
1515,3908,コラボス,5250,情報・通信業
1516,3909,ショーケース,5250,情報・通信業
1517,3910,エムケイシステム,5250,情報・通信業
1518,3911,Aiming,5250,情報・通信業
1519,3912,モバイルファクトリー,5250,情報・通信業
1520,3913,GreenBee,5250,情報・通信業
1521,3914,JIG-SAW,5250,情報・通信業
1522,3915,テラスカイ,5250,情報・通信業
1523,3916,デジタル・インフォメーション・テクノロジー,5250,情報・通信業
1524,3917,アイリッジ,5250,情報・通信業
1525,3918,PCIホールディングス,5250,情報・通信業
1526,3920,アイビーシー,5250,情報・通信業
1527,3921,ネオジャパン,5250,情報・通信業
1528,3922,PR　TIMES,5250,情報・通信業
1529,3923,ラクス,5250,情報・通信業
1530,3925,ダブルスタンダード,5250,情報・通信業
1531,3926,オープンドア,5250,情報・通信業
1532,3927,フーバーブレイン,5250,情報・通信業
1533,3928,マイネット,5250,情報・通信業
1534,3929,ソーシャルワイヤー,5250,情報・通信業
1536,3930,はてな,5250,情報・通信業
1537,3931,バリューゴルフ,5250,情報・通信業
1538,3932,アカツキ,5250,情報・通信業
1539,3933,チエル,5250,情報・通信業
1540,3934,ベネフィットジャパン,5250,情報・通信業
1541,3935,エディア,5250,情報・通信業
1542,3936,グローバルウェイ,5250,情報・通信業
1543,3937,Ubicomホールディングス,5250,情報・通信業
1544,3939,カナミックネットワーク,5250,情報・通信業
1545,393A,RitaX,9050,サービス業
1546,3940,ノムラシステムコーポレーション,5250,情報・通信業
1547,3941,レンゴー,3150,パルプ・紙
1548,3943,大石産業,3150,パルプ・紙
1549,3944,古林紙工,3150,パルプ・紙
1550,3945,スーパーバッグ,3150,パルプ・紙
1551,3946,トーモク,3150,パルプ・紙
1552,3947,ダイナパック,3150,パルプ・紙
1553,3948,光ビジネスフォーム,3150,パルプ・紙
1555,3950,ザ・パック,3150,パルプ・紙
1556,3951,朝日印刷,3150,パルプ・紙
1557,3953,大村紙業,3150,パルプ・紙
1558,3954,昭和パックス,3150,パルプ・紙
1559,3955,イムラ,3150,パルプ・紙
1560,3958,笹徳印刷,3150,パルプ・紙
1562,3962,チェンジホールディングス,5250,情報・通信業
1563,3963,シンクロ・フード,5250,情報・通信業
1564,3964,オークネット,5250,情報・通信業
1565,3965,キャピタル・アセット・プランニング,5250,情報・通信業
1566,3967,エルテス,5250,情報・通信業
1567,3968,セグエグループ,5250,情報・通信業
1568,3969,エイトレッド,5250,情報・通信業
1570,3970,イノベーション,5250,情報・通信業
1571,3974,SCAT,5250,情報・通信業
1572,3976,シャノン,5250,情報・通信業
1573,3979,うるる,5250,情報・通信業
1574,3981,ビーグリー,5250,情報・通信業
1575,3983,オロ,5250,情報・通信業
1576,3984,ユーザーローカル,5250,情報・通信業
1577,3985,テモナ,5250,情報・通信業
1578,3986,ビーブレイクシステムズ,5250,情報・通信業
1579,3987,エコモット,5250,情報・通信業
1580,3988,SYSホールディングス,5250,情報・通信業
1581,3989,シェアリングテクノロジー,5250,情報・通信業
1582,398A,リアルクオリティ,9050,サービス業
1583,3991,ウォンテッドリー,5250,情報・通信業
1584,3992,ニーズウェル,5250,情報・通信業
1585,3993,PKSHA　Technology,5250,情報・通信業
1586,3994,マネーフォワード,5250,情報・通信業
1587,3996,サインポスト,5250,情報・通信業
1588,3997,トレードワークス,5250,情報・通信業
1589,3998,すららネット,5250,情報・通信業
1591,4004,レゾナック・ホールディングス,3200,化学
1592,4005,住友化学,3200,化学
1593,4008,住友精化,3200,化学
1594,4011,ヘッドウォータース,5250,情報・通信業
1595,4012,アクシス,5250,情報・通信業
1596,4013,勤次郎,5250,情報・通信業
1597,4014,カラダノート,5250,情報・通信業
1598,4015,ペイクラウドホールディングス,5250,情報・通信業
1599,4016,MITホールディングス,5250,情報・通信業
1600,4017,クリーマ,5250,情報・通信業
1601,4019,スタメン,5250,情報・通信業
1603,4020,ビートレンド,5250,情報・通信業
1604,4021,日産化学,3200,化学
1605,4022,ラサ工業,3200,化学
1606,4023,クレハ,3200,化学
1607,4025,多木化学,3200,化学
1608,4026,神島化学工業,3400,ガラス・土石製品
1609,4027,テイカ,3200,化学
1610,4028,石原産業,3200,化学
1611,402A,アクセルスペースホールディングス,3700,輸送用機器
1612,4031,片倉コープアグリ,3200,化学
1613,403A,北條組,2050,建設業
1614,4040,南海化学,3200,化学
1615,4041,日本曹達,3200,化学
1616,4042,東ソー,3200,化学
1617,4043,トクヤマ,3200,化学
1618,4044,セントラル硝子,3200,化学
1619,4045,東亞合成,3200,化学
1620,4046,大阪ソーダ,3200,化学
1621,4047,関東電化工業,3200,化学
1623,4051,GMOフィナンシャルゲート,5250,情報・通信業
1624,4052,フィーチャ,5250,情報・通信業
1625,4053,Sun　Asterisk,5250,情報・通信業
1626,4054,日本情報クリエイト,5250,情報・通信業
1627,4055,ティアンドエスグループ,5250,情報・通信業
1628,4056,ニューラルグループ,5250,情報・通信業
1629,4057,インターファクトリー,5250,情報・通信業
1630,4058,トヨクモ,5250,情報・通信業
1631,4059,まぐまぐ,5250,情報・通信業
1632,405A,コヤマ・ミライエ,6050,卸売業
1633,4060,rakumo,5250,情報・通信業
1634,4061,デンカ,3200,化学
1635,4062,イビデン,3650,電気機器
1636,4063,信越化学工業,3200,化学
1637,4064,日本カーバイド工業,3200,化学
1638,4068,ベイシス,5250,情報・通信業
1639,4069,BlueMeme,5250,情報・通信業
1640,406A,環境のミカタホールディングス,9050,サービス業
1641,4071,プラスアルファ・コンサルティング,5250,情報・通信業
1642,4072,電算システムホールディングス,5250,情報・通信業
1643,4073,ジィ・シィ企画,5250,情報・通信業
1644,4074,ラキール,5250,情報・通信業
1645,4075,ブレインズテクノロジー,5250,情報・通信業
1646,4076,シイエヌエス,5250,情報・通信業
1647,4078,堺化学工業,3200,化学
1648,407A,UNICONホールディングス,2050,建設業
1649,4082,第一稀元素化学工業,3200,化学
1650,4088,エア・ウォーター,3200,化学
1652,4091,日本酸素ホールディングス,3200,化学
1653,4092,日本化学工業,3200,化学
1654,4093,東邦アセチレン,3200,化学
1655,4094,日本化学産業,3200,化学
1656,4095,日本パーカライジング,3200,化学
1657,4097,高圧ガス工業,3200,化学
1658,4098,チタン工業,3200,化学
1659,4099,四国化成ホールディングス,3200,化学
1660,409A,オリオンビール,3050,食料品
1661,4100,戸田工業,3200,化学
1662,4102,丸尾カルシウム,3200,化学
1663,4107,伊勢化学工業,3200,化学
1664,4109,ステラ　ケミファ,3200,化学
1665,410A,GMOコマース,9050,サービス業
1666,4112,保土谷化学工業,3200,化学
1667,4113,田岡化学工業,3200,化学
1668,4114,日本触媒,3200,化学
1669,4116,大日精化工業,3200,化学
1670,4118,カネカ,3200,化学
1671,4119,日本ピグメントホールディングス,3200,化学
1672,411A,日本マリタイムバンク,7200,その他金融業
1673,4120,スガイ化学工業,3200,化学
1674,4124,大阪油化工業,3200,化学
1675,4125,三和油化工業,3200,化学
1678,414A,オーバーラップホールディングス,5250,情報・通信業
1679,4151,協和キリン,3250,医薬品
1680,415A,GMO　TECHホールディングス,9050,サービス業
1681,4165,プレイド,5250,情報・通信業
1682,4166,かっこ,5250,情報・通信業
1683,4167,ココペリ,5250,情報・通信業
1684,4168,ヤプリ,5250,情報・通信業
1685,4169,ENECHANGE,5250,情報・通信業
1686,416A,富士ユナイトホールディングス,6050,卸売業
1687,4170,Kaizen　Platform,5250,情報・通信業
1688,4171,グローバルインフォメーション,5250,情報・通信業
1689,4172,Hiクラテス,5250,情報・通信業
1690,4174,アピリッツ,5250,情報・通信業
1691,4175,coly,5250,情報・通信業
1692,4176,ココナラ,5250,情報・通信業
1693,4177,i‐plug,5250,情報・通信業
1694,4178,Sharing　Innovations,5250,情報・通信業
1695,4179,ジーネクスト,5250,情報・通信業
1696,417A,ブルーゾーンホールディングス,6100,小売業
1697,4180,Appier　Group,5250,情報・通信業
1698,4182,三菱瓦斯化学,3200,化学
1699,4183,三井化学,3200,化学
1700,4186,東京応化工業,3200,化学
1701,4187,大阪有機化学工業,3200,化学
1702,4188,三菱ケミカルグループ,3200,化学
1703,4189,KHネオケム,3200,化学
1704,4192,スパイダープラス,5250,情報・通信業
1705,4193,ファブリカホールディングス,5250,情報・通信業
1706,4194,ビジョナル,5250,情報・通信業
1707,4196,ネオマーケティング,5250,情報・通信業
1708,4197,アスマーク,5250,情報・通信業
1709,4198,テンダ,5250,情報・通信業
1710,4199,ワンダープラネット,5250,情報・通信業
1711,419A,ラングローブ,6100,小売業
1712,4202,ダイセル,3200,化学
1713,4203,住友ベークライト,3200,化学
1714,4204,積水化学工業,3200,化学
1715,4205,日本ゼオン,3200,化学
1716,4206,アイカ工業,3200,化学
1717,4208,UBE,3200,化学
1718,4212,積水樹脂,3200,化学
1719,4216,旭有機材,3200,化学
1720,4218,ニチバン,3200,化学
1721,421A,ムービン・ストラテジック・キャリア,9050,サービス業
1722,4220,リケンテクノス,3200,化学
1723,4221,大倉工業,3200,化学
1724,4222,児玉化学工業,3200,化学
1725,4224,ロンシール工業,3200,化学
1726,4228,積水化成品工業,3200,化学
1727,4229,群栄化学工業,3200,化学
1728,422A,tane　CREATIVE,5250,情報・通信業
1729,4231,タイガースポリマー,3200,化学
1730,4234,サンエー化研,3200,化学
1731,4235,ウルトラファブリックス・ホールディングス,3200,化学
1732,4237,フジプレアム,3200,化学
1733,4238,ミライアル,3200,化学
1734,423A,ライオン事務器,6050,卸売業
1735,4240,クラスターテクノロジー,3200,化学
1736,4241,アテクト,3200,化学
1737,4242,タカギセイコー,3200,化学
1738,4243,ニックス,3200,化学
1739,4245,ダイキアクシス,3200,化学
1740,4246,ダイキョーニシカワ,3200,化学
1741,4247,ポバール興業,3200,化学
1742,4248,竹本容器,3200,化学
1743,4249,森六,3200,化学
1745,4251,恵和,3200,化学
1746,4255,THECOO,5250,情報・通信業
1747,4256,サインド,5250,情報・通信業
1748,4258,網屋,5250,情報・通信業
1749,4259,エクサウィザーズ,5250,情報・通信業
1751,4260,ハイブリッドテクノロジーズ,5250,情報・通信業
1752,4261,アジアクエスト,5250,情報・通信業
1753,4262,ニフティライフスタイル,5250,情報・通信業
1754,4263,サスメド,5250,情報・通信業
1755,4264,セキュア,5250,情報・通信業
1756,4265,Institution　for　a　Global　Society,5250,情報・通信業
1758,4270,BeeX,5250,情報・通信業
1759,4272,日本化薬,3200,化学
1760,4274,細谷火工,3200,化学
1761,4275,カーリット,3200,化学
1762,4284,ソルクシーズ,5250,情報・通信業
1763,4286,CLホールディングス,9050,サービス業
1764,4287,ジャストプランニング,5250,情報・通信業
1765,4288,アズジェント,5250,情報・通信業
1766,428A,サイプレス・ホールディングス,6100,小売業
1767,4290,プレステージ・インターナショナル,9050,サービス業
1768,4293,セプテーニ・ホールディングス,9050,サービス業
1769,4299,ハイマックス,5250,情報・通信業
1770,429A,テクセンドフォトマスク,3800,その他製品
1771,4301,アミューズ,9050,サービス業
1772,4307,野村総合研究所,5250,情報・通信業
1773,4308,Jストリーム,5250,情報・通信業
1774,430A,ネクストハンズ,5250,情報・通信業
1775,4310,ドリームインキュベータ,9050,サービス業
1776,4316,ビーマップ,5250,情報・通信業
1777,4317,レイ,9050,サービス業
1778,4318,クイック,9050,サービス業
1779,431A,ユーソナー,5250,情報・通信業
1780,4320,CEホールディングス,5250,情報・通信業
1781,4323,日本システム技術,5250,情報・通信業
1782,4324,電通グループ,9050,サービス業
1783,4326,インテージホールディングス,5250,情報・通信業
1784,432A,クリニファー,6050,卸売業
1785,4331,テイクアンドギヴ・ニーズ,9050,サービス業
1786,4334,ユークス,5250,情報・通信業
1787,4335,IPSホールディングス,5250,情報・通信業
1788,4337,ぴあ,9050,サービス業
1789,433A,MJE,6050,卸売業
1790,4341,西菱電機,9050,サービス業
1791,4343,イオンファンタジー,9050,サービス業
1792,4344,ソースネクスト,5250,情報・通信業
1793,4345,シーティーエス,9050,サービス業
1794,4346,NEXYZ.Group,7200,その他金融業
1795,4347,ブロードメディア,9050,サービス業
1796,434A,LOOPLACE,8050,不動産業
1797,4350,メディカルシステムネットワーク,6100,小売業
1798,4351,山田再生系債権回収総合事務所,7200,その他金融業
1799,4356,応用技術,5250,情報・通信業
1801,4360,マナック・ケミカル・パートナーズ,3200,化学
1802,4361,川口化学工業,3200,化学
1803,4362,日本精化,3200,化学
1804,4365,松本油脂製薬,3200,化学
1805,4366,ダイトーケミックス,3200,化学
1806,4367,広栄化学,3200,化学
1807,4368,扶桑化学工業,3200,化学
1808,4369,トリケミカル研究所,3200,化学
1809,436A,サイバーソリューションズ,5250,情報・通信業
1810,4370,モビルス,5250,情報・通信業
1811,4371,コアコンセプト・テクノロジー,5250,情報・通信業
1812,4372,ユミルリンク,5250,情報・通信業
1813,4373,シンプレクス・ホールディングス,5250,情報・通信業
1814,4374,ROBOT　PAYMENT,5250,情報・通信業
1815,4375,セーフィー,5250,情報・通信業
1816,4376,くふうカンパニーホールディングス,5250,情報・通信業
1817,4377,ワンキャリア,5250,情報・通信業
1818,4378,CINC,5250,情報・通信業
1819,4379,Photosynth,5250,情報・通信業
1820,437A,ジェイウェイブ,9050,サービス業
1821,4380,Mマート,5250,情報・通信業
1822,4381,ビープラッツ,5250,情報・通信業
1823,4382,HEROZ,5250,情報・通信業
1824,4384,ラクスル,5250,情報・通信業
1825,4385,メルカリ,5250,情報・通信業
1826,4386,SIGグループ,5250,情報・通信業
1827,4387,ZUU,5250,情報・通信業
1828,4388,エーアイ,5250,情報・通信業
1829,4389,プロパティデータバンク,5250,情報・通信業
1830,438A,インフキュリオン,5250,情報・通信業
1831,4390,IPS,5250,情報・通信業
1832,4391,ロジザード,5250,情報・通信業
1833,4392,FIG,5250,情報・通信業
1834,4393,バンク・オブ・イノベーション,5250,情報・通信業
1835,4394,エクスモーション,5250,情報・通信業
1836,4395,アクリート,5250,情報・通信業
1837,4396,システムサポートホールディングス,5250,情報・通信業
1838,4397,チームスピリット,5250,情報・通信業
1839,4398,ブロードバンドセキュリティ,5250,情報・通信業
1840,439A,アクトビ,5250,情報・通信業
1841,4401,ADEKA,3200,化学
1842,4403,日油,3200,化学
1843,4404,ミヨシ油脂,3050,食料品
1844,4406,新日本理化,3200,化学
1845,4409,東邦化学工業,3200,化学
1846,4410,ハリマ化成グループ,3200,化学
1847,4412,サイエンスアーツ,5250,情報・通信業
1848,4413,ボードルア,5250,情報・通信業
1849,4414,フレクト,5250,情報・通信業
1850,4415,ブロードエンタープライズ,5250,情報・通信業
1851,4416,True　Data,5250,情報・通信業
1852,4417,グローバルセキュリティエキスパート,5250,情報・通信業
1853,4418,JDSC,5250,情報・通信業
1854,4419,Finatextホールディングス,5250,情報・通信業
1855,441A,NE,5250,情報・通信業
1856,4420,イーソル,5250,情報・通信業
1857,4421,ディ・アイ・システム,5250,情報・通信業
1858,4422,VALUENEX,5250,情報・通信業
1859,4424,Amazia,5250,情報・通信業
1860,4425,Kudan,5250,情報・通信業
1861,4426,パスロジ,5250,情報・通信業
1862,4427,EduLab,5250,情報・通信業
1863,4428,シノプス,5250,情報・通信業
1864,4429,リックソフト,5250,情報・通信業
1865,442A,クラシコ,3100,繊維製品
1866,4430,東海ソフト,5250,情報・通信業
1867,4431,スマレジ,5250,情報・通信業
1868,4432,ウイングアーク1st,5250,情報・通信業
1869,4433,ヒト・コミュニケーションズ・ホールディングス,5250,情報・通信業
1870,4434,サーバーワークス,5250,情報・通信業
1871,4436,ミンカブ・ジ・インフォノイド,5250,情報・通信業
1872,4437,gooddaysホールディングス,5250,情報・通信業
1873,4438,Welby,5250,情報・通信業
1874,4439,東名,5250,情報・通信業
1876,4440,ヴィッツ,5250,情報・通信業
1877,4441,トビラシステムズ,5250,情報・通信業
1878,4442,バルテス・ホールディングス,5250,情報・通信業
1879,4443,Sansan,5250,情報・通信業
1880,4444,インフォネット,5250,情報・通信業
1881,4445,リビン・テクノロジーズ,5250,情報・通信業
1882,4446,Link-Uグループ,5250,情報・通信業
1883,4447,ピー・ビーシステムズ,5250,情報・通信業
1884,4448,kubell,5250,情報・通信業
1885,4449,ギフティ,5250,情報・通信業
1886,444A,アイテル,6050,卸売業
1887,4450,パワーソリューションズ,5250,情報・通信業
1888,4452,花王,3200,化学
1889,445A,東洋コーポレーション,8050,不動産業
1890,4461,第一工業製薬,3200,化学
1891,4462,石原ケミカル,3200,化学
1892,4463,日華化学,3200,化学
1893,4464,ソフト99コーポレーション,3200,化学
1894,4465,ニイタカ,3200,化学
1895,446A,ノースサンド,9050,サービス業
1896,4471,三洋化成工業,3200,化学
1897,4475,HENNGE,5250,情報・通信業
1898,4476,AI　CROSS,5250,情報・通信業
1899,4477,BASE,5250,情報・通信業
1900,4478,フリー,5250,情報・通信業
1901,4479,マクアケ,5250,情報・通信業
1903,4480,メドレー,5250,情報・通信業
1904,4481,ベース,5250,情報・通信業
1905,4482,ウィルズ,5250,情報・通信業
1906,4483,JMDC,5250,情報・通信業
1907,4484,ランサーズ,5250,情報・通信業
1908,4486,ユナイトアンドグロウ,5250,情報・通信業
1909,4487,スペースマーケット,5250,情報・通信業
1910,4488,AI　inside,5250,情報・通信業
1912,4490,ビザスク,5250,情報・通信業
1913,4491,コンピューターマネージメント,5250,情報・通信業
1914,4492,ゼネテック,5250,情報・通信業
1915,4493,サイバーセキュリティクラウド,5250,情報・通信業
1916,4494,バリオセキュア,5250,情報・通信業
1917,4495,アイキューブドシステムズ,5250,情報・通信業
1918,4496,コマースOneホールディングス,5250,情報・通信業
1919,4498,サイバートラスト,5250,情報・通信業
1920,4499,Speee,5250,情報・通信業
1922,4502,武田薬品工業,3250,医薬品
1923,4503,アステラス製薬,3250,医薬品
1924,4506,住友ファーマ,3250,医薬品
1925,4507,塩野義製薬,3250,医薬品
1927,4512,わかもと製薬,3250,医薬品
1928,4516,日本新薬,3250,医薬品
1929,4519,中外製薬,3250,医薬品
1931,4521,科研製薬,3250,医薬品
1932,4523,エーザイ,3250,医薬品
1933,4524,森下仁丹,3250,医薬品
1934,4526,理研ビタミン,3050,食料品
1935,4527,ロート製薬,3250,医薬品
1936,4528,小野薬品工業,3250,医薬品
1938,4530,久光製薬,3250,医薬品
1939,4531,有機合成薬品工業,3200,化学
1940,4534,持田製薬,3250,医薬品
1941,4536,参天製薬,3250,医薬品
1942,4538,扶桑薬品工業,3250,医薬品
1943,4539,日本ケミファ,3250,医薬品
1945,4540,ツムラ,3250,医薬品
1946,4543,テルモ,3750,精密機器
1947,4544,H.U.グループホールディングス,9050,サービス業
1948,4547,キッセイ薬品工業,3250,医薬品
1949,4548,生化学工業,3250,医薬品
1950,4549,栄研化学,3250,医薬品
1951,4552,JCRファーマ,3250,医薬品
1952,4553,東和薬品,3250,医薬品
1953,4554,富士製薬工業,3250,医薬品
1954,4556,カイノス,3250,医薬品
1955,4558,中京医薬品,3250,医薬品
1956,4559,ゼリア新薬工業,3250,医薬品
1957,455A,バリューソフトホールディングス,5250,情報・通信業
1958,4563,アンジェス,3250,医薬品
1959,4564,オンコセラピー・サイエンス,3250,医薬品
1960,4565,ネクセラファーマ,3250,医薬品
1961,4568,第一三共,3250,医薬品
1962,4569,杏林製薬,3250,医薬品
1963,456A,HUMAN　MADE,6100,小売業
1964,4570,免疫生物研究所,3250,医薬品
1965,4571,NANOホールディングス,3250,医薬品
1966,4572,カルナバイオサイエンス,3250,医薬品
1967,4574,大幸薬品,3250,医薬品
1968,4575,キャンバス,3250,医薬品
1969,4576,デ・ウエスタン・セラピテクス研究所,3250,医薬品
1970,4577,ダイト,3250,医薬品
1971,4578,大塚ホールディングス,3250,医薬品
1972,4579,ラクオリア創薬,3250,医薬品
1973,457A,ルリアン,9050,サービス業
1974,4582,シンバイオ製薬,3250,医薬品
1975,4583,カイオム・バイオサイエンス,3250,医薬品
1976,4584,キッズウェル・バイオ,3250,医薬品
1977,4586,メドレックス,3250,医薬品
