,コード,銘柄名,33業種コード,33業種区分
2428,5587,インバウンドプラットフォーム,5250,情報・通信業
2429,5588,ファーストアカウンティング,5250,情報・通信業
2430,5589,オートサーバー,5250,情報・通信業
2431,5590,ネットスターズ,5250,情報・通信業
2432,5591,AVILEN,5250,情報・通信業
2433,5592,くすりの窓口,5250,情報・通信業
2434,5594,エム・デー・ビー,5250,情報・通信業
2435,5597,ブルーイノベーション,5250,情報・通信業
2436,5598,Yottavias,5250,情報・通信業
2437,5599,S&J,5250,情報・通信業
2438,5602,栗本鐵工所,3450,鉄鋼
2439,5603,虹技,3450,鉄鋼
2440,5609,日本鋳造,3450,鉄鋼
2441,5612,日本鋳鉄管,3450,鉄鋼
2442,5616,雨風太陽,5250,情報・通信業
2443,5617,ウィル・ドゥ,5250,情報・通信業
2444,5618,ナイル,5250,情報・通信業
2445,5619,マーソ,5250,情報・通信業
2446,5620,エスピーオー,5250,情報・通信業
2447,5621,ヒューマンテクノロジーズ,5250,情報・通信業
2448,5622,ワンビ,5250,情報・通信業
2449,5631,日本製鋼所,3600,機械
2450,5632,三菱製鋼,3450,鉄鋼
2451,5644,メタルアート,3450,鉄鋼
2452,5658,日亜鋼業,3450,鉄鋼
2453,5659,日本精線,3450,鉄鋼
2454,5660,神鋼鋼線工業,3450,鉄鋼
2455,5695,パウダーテック,3450,鉄鋼
2456,5697,サンユウ,3450,鉄鋼
2457,5698,エンビプロ・ホールディングス,3450,鉄鋼
2458,5699,イボキン,3450,鉄鋼
2459,5702,大紀アルミニウム工業所,3500,非鉄金属
2460,5703,日本軽金属ホールディングス,3500,非鉄金属
2461,5704,JMC,3500,非鉄金属
2462,5706,三井金属,3500,非鉄金属
2463,5707,東邦亜鉛,3500,非鉄金属
2464,5711,三菱マテリアル,3500,非鉄金属
2465,5713,住友金属鉱山,3500,非鉄金属
2466,5714,DOWAホールディングス,3500,非鉄金属
2467,5715,古河機械金属,3500,非鉄金属
2468,5721,エス・サイエンス,3500,非鉄金属
2469,5724,アサカ理研,3500,非鉄金属
2470,5726,大阪チタニウムテクノロジーズ,3500,非鉄金属
2471,5727,東邦チタニウム,3500,非鉄金属
2472,5729,日本精鉱,3500,非鉄金属
2473,5741,UACJ,3500,非鉄金属
2474,5742,エヌアイシ・オートテック,3500,非鉄金属
2475,5753,日本伸銅,3500,非鉄金属
2476,5757,CKサンエツ,3500,非鉄金属
2477,5801,古河電気工業,3500,非鉄金属
2478,5802,住友電気工業,3500,非鉄金属
2479,5803,フジクラ,3500,非鉄金属
2480,5805,SWCC,3500,非鉄金属
2481,5816,オーナンバ,3500,非鉄金属
2482,5817,JMACS,3500,非鉄金属
2483,5819,カナレ電気,3500,非鉄金属
2484,5820,三ッ星,3500,非鉄金属
2485,5821,平河ヒューテック,3500,非鉄金属
2486,5830,いよぎんホールディングス,7050,銀行業
2487,5831,しずおかフィナンシャルグループ,7050,銀行業
2488,5832,ちゅうぎんフィナンシャルグループ,7050,銀行業
2489,5834,SBIリーシングサービス,7100,証券、商品先物取引業
2490,5838,楽天銀行,7050,銀行業
2491,5840,日本総険,7150,保険業
2492,5842,インテグラル,7100,証券、商品先物取引業
2493,5843,ニッポンインシュア,7200,その他金融業
2494,5844,京都フィナンシャルグループ,7050,銀行業
2495,5845,全保連,7200,その他金融業
2496,5851,リョービ,3500,非鉄金属
2497,5852,アーレスティ,3500,非鉄金属
2498,5856,エルアイイーエイチ,6100,小売業
2499,5857,AREホールディングス,3500,非鉄金属
2500,5858,STG,3500,非鉄金属
2501,5866,WizBiz,9050,サービス業
2502,5867,エスネットワークス,9050,サービス業
2503,5868,ロココ,9050,サービス業
2504,5869,早稲田学習研究会,9050,サービス業
2505,5870,ナルネットコミュニケーションズ,9050,サービス業
2506,5871,SOLIZE　Holdings,9050,サービス業
2507,5883,GTホールディングス,6050,卸売業
2508,5884,クラダシ,6100,小売業
2509,5885,ジーデップ・アドバンス,6050,卸売業
2510,5886,OOKABE　GLASS,6050,卸売業
2511,5887,光響,6050,卸売業
2512,5888,DAIWA　CYCLE,6100,小売業
2513,5889,Japan　Eyewear　Holdings,6100,小売業
2514,5890,オフィスバスターズ,6100,小売業
2515,5891,魁力屋,6100,小売業
2516,5892,yutori,6100,小売業
2517,5893,RAVIPA,6100,小売業
2518,5900,ダイケン,3550,金属製品
2519,5901,東洋製罐グループホールディングス,3550,金属製品
2520,5902,ホッカンホールディングス,3550,金属製品
2521,5903,シンポ,3550,金属製品
2522,5905,日本製罐,3550,金属製品
2523,5906,エムケー精工,3550,金属製品
2524,5909,コロナ,3550,金属製品
2525,5911,横河ブリッジホールディングス,3550,金属製品
2526,5915,駒井ハルテック,3550,金属製品
2527,5918,瀧上工業,3550,金属製品
2528,5921,川岸工業,3550,金属製品
2529,5922,那須電機鉄工,3550,金属製品
2530,5923,高田機工,3550,金属製品
2531,5928,アルメタックス,3550,金属製品
2532,5929,三和ホールディングス,3550,金属製品
2533,5930,文化シヤッター,3550,金属製品
2534,5932,三協立山,3550,金属製品
2535,5933,アルインコ,3550,金属製品
2536,5936,東洋シヤッター,3550,金属製品
2537,5938,LIXIL,3550,金属製品
2538,5939,大谷工業,3550,金属製品
2539,5940,不二サッシ,3550,金属製品
2540,5941,中西製作所,3550,金属製品
2541,5942,日本フイルコン,3550,金属製品
2542,5943,ノーリツ,3550,金属製品
2543,5945,天龍製鋸,3550,金属製品
2544,5946,長府製作所,3550,金属製品
2545,5947,リンナイ,3550,金属製品
2546,5949,ユニプレス,3700,輸送用機器
2547,5950,日本パワーファスニング,3550,金属製品
2548,5951,ダイニチ工業,3550,金属製品
2549,5952,アマテイ,3550,金属製品
2550,5955,ワイズホールディングス,3550,金属製品
2551,5956,トーソー,3550,金属製品
2552,5957,日東精工,3550,金属製品
2553,5958,三洋工業,3550,金属製品
2554,5959,岡部,3550,金属製品
2555,5962,浅香工業,3800,その他製品
2556,5965,フジマック,3550,金属製品
2557,5966,京都機械工具,3550,金属製品
2558,5967,TONE,3550,金属製品
2559,5969,ロブテックス,3550,金属製品
2560,5970,ジーテクト,3550,金属製品
2561,5971,共和工業所,3550,金属製品
2562,5973,トーアミ,3550,金属製品
2563,5974,中国工業,3550,金属製品
2564,5975,東プレ,3550,金属製品
2565,5976,高周波熱錬,3550,金属製品
2566,5981,東京製綱,3550,金属製品
2567,5982,マルゼン,3550,金属製品
2568,5983,イワブチ,3550,金属製品
2569,5984,兼房,3550,金属製品
2570,5985,サンコール,3550,金属製品
2571,5986,モリテック　スチール,3550,金属製品
2572,5987,オーネックス,3550,金属製品
2573,5988,パイオラックス,3550,金属製品
2574,5989,エイチワン,3550,金属製品
2575,5990,スーパーツール,3550,金属製品
2576,5991,日本発條,3550,金属製品
2577,5992,中央発條,3550,金属製品
2578,5994,ファインシンター,3550,金属製品
2579,5997,協立エアテック,3550,金属製品
2580,5998,アドバネクス,3550,金属製品
2581,6005,三浦工業,3600,機械
2582,6013,タクマ,3600,機械
2583,6016,ジャパンエンジンコーポレーション,3700,輸送用機器
2584,6018,阪神内燃機工業,3700,輸送用機器
2585,6022,赤阪鐵工所,3600,機械
2586,6023,ダイハツインフィニアース,3700,輸送用機器
2587,6027,弁護士ドットコム,9050,サービス業
2588,6029,アトラグループ,9050,サービス業
2589,6030,アドベンチャー,9050,サービス業
2590,6031,ZETA,9050,サービス業
2591,6033,エクストリーム,9050,サービス業
2592,6034,MRT,9050,サービス業
2593,6035,アイ・アールジャパンホールディングス,9050,サービス業
2594,6036,KeePer技研,9050,サービス業
2595,6037,楽待,9050,サービス業
2596,6038,イード,9050,サービス業
2597,6039,日本動物高度医療センター,9050,サービス業
2598,6040,日本スキー場開発,9050,サービス業
2599,6042,ニッキ,3700,輸送用機器
2600,6044,三機サービス,9050,サービス業
2601,6045,レントラックス,9050,サービス業
2602,6046,リンクバル,9050,サービス業
2603,6047,Gunosy,9050,サービス業
2604,6049,イトクロ,9050,サービス業
2605,6050,イー・ガーディアン,9050,サービス業
2606,6054,リブセンス,9050,サービス業
2607,6055,ジャパンマテリアル,9050,サービス業
2608,6058,ベクトル,9050,サービス業
2609,6059,ウチヤマホールディングス,9050,サービス業
2610,6061,ユニバーサル園芸社,9050,サービス業
2611,6062,チャーム・ケア・コーポレーション,9050,サービス業
2612,6063,日本エマージェンシーアシスタンス,9050,サービス業
2613,6069,トレンダーズ,9050,サービス業
2614,6070,キャリアリンク,9050,サービス業
2615,6071,IBJ,9050,サービス業
2616,6072,地盤ネットホールディングス,9050,サービス業
2617,6073,アサンテ,9050,サービス業
2618,6074,ジェイエスエス,9050,サービス業
2619,6078,バリューHR,9050,サービス業
2620,6080,M&Aキャピタルパートナーズ,9050,サービス業
2621,6081,アライドアーキテクツ,9050,サービス業
2622,6082,ライドオンエクスプレスホールディングス,9050,サービス業
2623,6083,ERIホールディングス,9050,サービス業
2624,6085,アーキテクツ・スタジオ・ジャパン,9050,サービス業
2625,6086,シンメンテホールディングス,9050,サービス業
2626,6087,アビスト,9050,サービス業
2627,6088,シグマクシス・ホールディングス,9050,サービス業
2628,6089,ウィルグループ,9050,サービス業
2629,6090,ヒューマン・メタボローム・テクノロジーズ,9050,サービス業
2630,6091,ウエスコホールディングス,9050,サービス業
2631,6092,エンバイオ・ホールディングス,9050,サービス業
2632,6093,エスクロー・エージェント・ジャパン,9050,サービス業
2633,6094,フリークアウト・ホールディングス,9050,サービス業
2634,6096,レアジョブ,9050,サービス業
2635,6098,リクルートホールディングス,9050,サービス業
2636,6099,エラン,9050,サービス業
2637,6101,ツガミ,3600,機械
2638,6103,オークマ,3600,機械
2639,6104,芝浦機械,3600,機械
2640,6113,アマダ,3600,機械
2641,6118,アイダエンジニアリング,3600,機械
2642,6125,岡本工作機械製作所,3600,機械
2643,6134,FUJI,3600,機械
2644,6135,牧野フライス製作所,3600,機械
2645,6136,オーエスジー,3600,機械
2646,6137,小池酸素工業,3600,機械
2647,6138,ダイジェット工業,3600,機械
2648,6140,旭ダイヤモンド工業,3600,機械
2649,6141,DMG森精機,3600,機械
2650,6143,ソディック,3600,機械
2651,6144,西部電機,3600,機械
2652,6145,NITTOKU,3600,機械
2653,6146,ディスコ,3600,機械
2654,6147,ヤマザキ,3600,機械
2655,6149,小田原エンジニアリング,3600,機械
2656,6150,タケダ機械,3600,機械
2657,6151,日東工器,3600,機械
2658,6155,高松機械工業,3600,機械
2659,6156,エーワン精密,3600,機械
2660,6157,日進工具,3600,機械
2661,6158,和井田製作所,3600,機械
2662,6159,ミクロン精密,3600,機械
2663,6161,エスティック,3600,機械
2664,6165,パンチ工業,3600,機械
2665,6166,中村超硬,3600,機械
2666,6167,冨士ダイス,3600,機械
2667,6168,ONE　GROUP,3600,機械
2668,6171,土木管理総合試験所,9050,サービス業
2669,6173,アクアライン,9050,サービス業
2670,6174,デンタス,9050,サービス業
2671,6176,ブランジスタ,9050,サービス業
2672,6177,AppBank,9050,サービス業
2673,6178,日本郵政,9050,サービス業
2674,6180,GMOメディア,9050,サービス業
2675,6181,タメニー,9050,サービス業
2676,6182,メタリアル,9050,サービス業
2677,6183,ベルシステム24ホールディングス,9050,サービス業
2678,6184,鎌倉新書,9050,サービス業
2679,6185,SMN,9050,サービス業
2680,6186,一蔵,9050,サービス業
2681,6189,グローバルキッズCOMPANY,9050,サービス業
2682,6190,フェニックスバイオ,9050,サービス業
2683,6191,エアトリ,9050,サービス業
2684,6193,バーチャレクス・ホールディングス,9050,サービス業
2685,6194,アトラエ,9050,サービス業
2686,6195,ホープ,9050,サービス業
2687,6196,ストライク,9050,サービス業
2688,6197,ソラスト,9050,サービス業
2689,6198,キャリア,9050,サービス業
2690,6199,セラク,9050,サービス業
2691,6200,インソース,9050,サービス業
2692,6201,豊田自動織機,3700,輸送用機器
2693,6203,豊和工業,3600,機械
2694,6208,石川製作所,3600,機械
2695,6209,リケンNPR,3600,機械
2696,6217,津田駒工業,3600,機械
2697,6218,エンシュウ,3600,機械
2698,6222,島精機製作所,3600,機械
2699,6223,西部技研,3600,機械
2700,6224,JRC,3600,機械
2701,6226,守谷輸送機工業,3600,機械
2702,6227,AIメカテック,3600,機械
2703,6228,ジェイ・イー・ティ,3600,機械
2704,6229,オーケーエム,3600,機械
2705,6230,SANEI,3600,機械
2706,6231,木村工機,3600,機械
2707,6232,ACSL,3600,機械
2708,6233,KLASS,3600,機械
2709,6235,オプトラン,3600,機械
2710,6237,イワキポンプ,3600,機械
2711,6238,フリュー,3600,機械
2712,6239,ナガオカ,3600,機械
2713,6240,ヤマシンフィルタ,3600,機械
2714,6245,ヒラノテクシード,3600,機械
2715,6246,テクノスマート,3600,機械
2716,6247,日阪製作所,3600,機械
2717,6248,横田製作所,3600,機械
2718,6249,ゲームカードホールディングス,3600,機械
2719,6250,やまびこ,3600,機械
2720,6254,野村マイクロ・サイエンス,3600,機械
2721,6255,エヌ・ピー・シー,3600,機械
2722,6257,藤商事,3600,機械
2723,6258,平田機工,3600,機械
2724,6262,PEGASUS,3600,機械
2725,6264,マルマエ,3600,機械
2726,6265,コンバム,3600,機械
2727,6266,タツモ,3600,機械
2728,6267,ゼネラルパッカー,3600,機械
2729,6268,ナブテスコ,3600,機械
